Suburb,Address,Rooms,Type,Price,Method,agentName,Date,Distance,Postcode,Bathroom,parkingSpot,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,hasGarden,hasSwimmingPool,hasFence,propertyId,isLandCleared,numberOfSharedWalls,numberOfLevels,underConstruction,agentId,buyerName,buyerId,gender,age,floorLevel,hasBalcony,transactionId,hasElevator
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4/2/2016,2.5,3067,1,0,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019,TRUE,TRUE,TRUE,26345,TRUE,0,0,FALSE,2,Adam Velasquez,2,M,40,0,FALSE,2,FALSE
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4/3/2017,2.5,3067,2,0,134,150,1900,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019,TRUE,TRUE,TRUE,21921,TRUE,0,0,FALSE,2,Mrs. Turkmen,4,F,24,0,FALSE,3,FALSE
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/6/2016,2.5,3067,1,2,120,142,2014,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019,FALSE,FALSE,TRUE,14609,TRUE,0,0,FALSE,4,Meghan Stevens,6,F,82,0,TRUE,5,FALSE
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/5/2016,2.5,3067,2,0,245,210,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019,FALSE,FALSE,TRUE,15390,TRUE,0,0,FALSE,4,Samuel Reed,11,M,29,0,TRUE,7,FALSE
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8/10/2016,2.5,3067,1,2,256,107,1890,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019,FALSE,FALSE,TRUE,31931,TRUE,0,0,FALSE,4,Inso Tsakis,14,F,48,0,TRUE,8,FALSE
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/2016,2.5,3067,1,2,220,75,1900,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019,FALSE,FALSE,TRUE,6162,TRUE,0,0,FALSE,2,Leah Brown-Godfrey,18,M,33,0,FALSE,12,FALSE
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12/11/2016,2.5,3067,2,2,214,190,2005,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019,FALSE,FALSE,TRUE,4416,TRUE,0,0,FALSE,4,Angela Wyatt,24,F,70,0,FALSE,17,FALSE
Abbotsford,16 William St,2,h,1310000,S,Jellis,15/10/2016,2.5,3067,1,2,238,97,1890,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019,TRUE,FALSE,TRUE,16106,TRUE,0,0,FALSE,1,Senten Pupsis,30,F,42,0,FALSE,23,FALSE
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16/07/2016,2.5,3067,2,1,113,110,1880,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019,TRUE,FALSE,TRUE,30348,TRUE,0,0,FALSE,1,Aristides Kampakas,32,M,21,2,TRUE,24,FALSE
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16/07/2016,2.5,3067,1,1,138,105,1890,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019,FALSE,FALSE,FALSE,9439,TRUE,0,0,FALSE,10,Milia Syvillia,35,F,68,0,TRUE,26,FALSE
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17/09/2016,2.5,3067,1,1,150,73,1985,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019,FALSE,FALSE,TRUE,4431,TRUE,0,0,FALSE,2,Dr Eric Gibbs,37,F,83,0,TRUE,28,FALSE
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18/03/2017,2.5,3067,2,2,780,135,1900,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019,TRUE,FALSE,TRUE,2312,TRUE,0,0,FALSE,11,Slim Nasseiba,38,F,78,0,TRUE,29,FALSE
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Jellis,18/03/2017,2.5,3067,2,2,4290,27,,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019,FALSE,FALSE,FALSE,4036,TRUE,0,0,FALSE,1,Stephen Peters,41,F,29,0,FALSE,31,FALSE
Abbotsford,52a William St,2,h,1100000,PI,Biggin,18/06/2016,2.5,3067,2,1,124,135,2013,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019,TRUE,TRUE,TRUE,16885,TRUE,0,0,FALSE,2,Kyraka Koltsakis,43,F,65,0,TRUE,33,FALSE
Abbotsford,49 Park St,2,h,1315000,S,Marshall,19/11/2016,2.5,3067,1,0,147,85,1900,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019,FALSE,FALSE,TRUE,6087,TRUE,0,0,FALSE,13,Donna Ponce,44,M,36,0,TRUE,34,FALSE
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22/08/2016,2.5,3067,3,1,166,174,2012,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019,TRUE,TRUE,TRUE,13449,TRUE,0,0,FALSE,4,Tina Hernandez,49,M,74,0,FALSE,38,FALSE
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22/08/2016,2.5,3067,2,2,98,128,1920,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019,FALSE,FALSE,TRUE,28681,TRUE,0,0,FALSE,4,Charles Fox,51,F,51,0,TRUE,40,FALSE
Abbotsford,166 Gipps St,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,2,2,147,18,,Yarra City Council,-37.805,144.9943,Northern Metropolitan,4019,TRUE,FALSE,TRUE,30287,TRUE,0,0,FALSE,2,John Brown,55,F,56,0,FALSE,44,FALSE
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,1,1,168,124,1950,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019,TRUE,FALSE,TRUE,2119,TRUE,0,0,FALSE,2,Callum Pearce,56,F,78,0,FALSE,45,FALSE
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27/11/2016,2.5,3067,1,0,162,91,1900,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019,FALSE,FALSE,TRUE,18851,TRUE,0,0,FALSE,1,Richard Whitehead,58,F,40,0,FALSE,47,FALSE
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27/11/2016,2.5,3067,2,1,120,128,1998,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019,FALSE,FALSE,TRUE,17483,TRUE,0,0,FALSE,1,John Mills,59,F,41,0,FALSE,48,FALSE
